analysis_type,group,sample_count,error_count,error_rate,balanced_accuracy,macro_f1,details
misclassified_sample,2022-0026-TON,,1,,,,year=2022; true=Low; predicted=Moderate; type=Volcanic activity; region=Polynesia; hdi=present; categories=known_categories
misclassified_sample,2022-0027-AFG,,1,,,,year=2022; true=Moderate; predicted=Extreme; type=Earthquake; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0052-MOZ,,1,,,,year=2022; true=Moderate; predicted=High; type=Storm; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0205-ZAF,,1,,,,year=2022; true=High; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0117-COM,,1,,,,year=2022; true=Moderate; predicted=High; type=Air; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0158-CHN,,1,,,,year=2022; true=High; predicted=Moderate; type=Air; region=Eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0263-COD,,1,,,,year=2022; true=Low; predicted=Extreme; type=Epidemic; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0666-KHM,,1,,,,year=2022; true=Moderate; predicted=Low; type=Flood; region=South-eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0235-POL,,1,,,,year=2022; true=Moderate; predicted=Low; type=Industrial accident (General); region=Eastern Europe; hdi=present; categories=known_categories
misclassified_sample,2022-0275-RUS,,1,,,,year=2022; true=Moderate; predicted=Low; type=Wildfire; region=Eastern Europe; hdi=present; categories=known_categories
misclassified_sample,2022-0283-CMR,,1,,,,year=2022; true=Moderate; predicted=High; type=Air; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0314-PHL,,1,,,,year=2022; true=Low; predicted=Moderate; type=Water; region=South-eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0317-GTM,,1,,,,year=2022; true=Moderate; predicted=Low; type=Flood; region=Latin America and the Caribbean; hdi=present; categories=known_categories
misclassified_sample,2022-0347-CIV,,1,,,,year=2022; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0372-BGD,,1,,,,year=2022; true=Moderate; predicted=High; type=Fire (Industrial); region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0397-CHN,,1,,,,year=2022; true=Moderate; predicted=Low; type=Storm; region=Eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0405-PAK,,1,,,,year=2022; true=Extreme; predicted=High; type=Flood; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0594-LBN,,1,,,,year=2022; true=Moderate; predicted=Low; type=Epidemic; region=Western Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0423-KOR,,1,,,,year=2022; true=Low; predicted=High; type=Extreme temperature; region=Eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0445-SDN,,1,,,,year=2022; true=High; predicted=Low; type=Flood; region=Northern Africa; hdi=present; categories=known_categories
